dataset,missing_type,missing_rate,variant,mse,mae,std,time_sec_per_epoch,n_params,peak_mem_mb,n,improve_vs_fuse_pct,improve_vs_best_corr_soft_pct
Weather,continuous_segment,0.3,corr,0.175386618249664,0.23687562200656742,0.0071806716998836645,22.657260735313614,387466.0,124.189453125,2,-1.9764725409026067,0.0
Weather,continuous_segment,0.3,soft,0.17671506090732553,0.24417902738526429,0.0007729772148433595,21.810424024860062,389066.0,325.5341796875,2,-2.7488797949631274,-0.7574367251727693
Weather,continuous_segment,0.3,fuse,0.17198733578406206,0.2356153482167329,0.0013296561956748082,29.709513045492628,472074.0,387.177734375,2,0.0,1.9381652371921834
Weather,continuous_segment,0.3,sgate,0.17061141656311352,0.2370620428745458,0.0013787405692886195,46.17347065040043,455627.0,383.177734375,2,0.800011939644248,2.7226716235288597
Weather,continuous_segment,0.3,ggate,0.1785214616585828,0.24273548584454593,0.005894850774379706,34.76624005336266,455630.0,383.177734375,2,-3.7991901233499124,-1.7873903038921224
Weather,continuous_segment,0.3,mgate,0.18166798093548342,0.2486249925418012,0.007746684591184688,33.29430069029331,455707.0,383.18359375,2,-5.628696500988802,-3.5814378249074013
Weather,continuous_segment,0.5,corr,0.18904219224385638,0.25466651512481997,0.013280717130481137,28.47763054711478,387466.0,124.189453125,2,-9.55599145931024,0.0
Weather,continuous_segment,0.5,soft,0.1948098174746154,0.2664663863786959,0.000823398712664028,27.346254768116133,389066.0,325.5341796875,2,-12.89851459142903,-3.050972464030162
Weather,continuous_segment,0.5,fuse,0.17255303861137325,0.2335796985402525,0.0029998455423096704,29.636386684009004,472074.0,387.177734375,2,0.0,8.722472711918629
Weather,continuous_segment,0.5,sgate,0.17157494433762754,0.23595826323378194,0.0017400661486081936,29.50869725431715,455627.0,383.177734375,2,0.5668368877285234,9.239867406793943
Weather,continuous_segment,0.5,ggate,0.175622433489621,0.2442010991364475,0.00010414158344954072,35.21196041788374,455630.0,383.177734375,2,-1.778812417879639,7.098816721784762
Weather,continuous_segment,0.5,mgate,0.18139268038032041,0.2538314556607566,0.0005119237875812893,37.41134877715792,455707.0,383.18359375,2,-5.122854885711952,4.0464574456840925
Weather,continuous_segment,0.7,corr,0.20484104979945575,0.2698686286329139,0.015697021830190366,44.69048500061035,387466.0,124.189453125,2,-1.8208657827264023,0.0
Weather,continuous_segment,0.7,soft,0.20722915527636837,0.2672865677359231,0.00335296767930085,45.563560569441165,389066.0,325.5341796875,2,-3.007927494613606,-1.1658334495212916
Weather,continuous_segment,0.7,fuse,0.20117787078786203,0.2622944061467384,0.010226783186354213,48.276648544839446,472074.0,387.177734375,2,0.0,1.7883031819940651
Weather,continuous_segment,0.7,sgate,0.19365176232366713,0.2629552028120962,0.0003637580793973416,45.34741011687687,455627.0,383.177734375,2,3.741022029272313,5.462424395277803
Weather,continuous_segment,0.7,ggate,0.19663986780245146,0.2626916613517166,0.004865244879797934,47.074430680700715,455630.0,383.177734375,2,2.2557167782115575,4.003680905284091
Weather,continuous_segment,0.7,mgate,0.21732729735016082,0.2841631209696235,0.007643330393937733,48.9748298227787,455707.0,383.18359375,2,-8.027436864230474,-6.09557877336081
Weather,random_point,0.5,corr,0.17017242511589029,0.23876203274030672,0.007015710173182754,21.550041454178945,387466.0,124.189453125,2,3.502991770890974,0.0
Weather,random_point,0.5,soft,0.1758671342384992,0.24244958046465298,0.00020883954159091334,22.74523162841797,389066.0,325.5341796875,2,0.2737823811056383,-3.3464347227411975
Weather,random_point,0.5,fuse,0.17634994932885031,0.24479842545485142,0.002899374968700852,31.191655957273074,472074.0,387.177734375,2,0.0,-3.63015583091857
Weather,random_point,0.5,sgate,0.17563091196073422,0.2448742313553923,0.004586391670958409,33.014393949082915,455627.0,383.177734375,2,0.40773324339054207,-3.2076212354184923
Weather,random_point,0.5,ggate,0.16850317059492254,0.2350232581649459,0.0004726586043977271,29.440183894974844,455630.0,383.177734375,2,4.449549752518171,0.9809195113902618
Weather,random_point,0.5,mgate,0.17312722267746183,0.2460526419119609,0.0014903861863468093,35.48163565567562,455707.0,383.18359375,2,1.8274610589078584,-1.7363550878230014
Traffic,random_point,0.3,corr,0.6439538816058269,0.37202124225622035,0.002142411060249483,54.458507265150544,442972.0,7648.15234375,2,-5.427539602982886,-6.97450515132908
Traffic,random_point,0.3,soft,0.6019694886130784,0.3482092816169929,0.0010645205245011224,88.93489506840706,498396.0,14237.408203125,2,1.4461067580147382,0.0
Traffic,random_point,0.3,fuse,0.6108023425670529,0.3565426776908327,0.005546087681112644,107.71303014755249,581404.0,16227.91162109375,2,0.0,-1.4673258563860343
Traffic,random_point,0.3,sgate,0.6186003070624646,0.359895469294111,0.000499306032284097,147.59754083156585,564957.0,16231.8095703125,2,-1.2766756038686367,-2.762734451492408
Traffic,random_point,0.3,ggate,0.6146030121631538,0.3588694146576598,0.0046216255400226,105.57757568699972,564960.0,16231.8095703125,2,-0.6222421446727988,-2.098698320936948
Traffic,random_point,0.3,mgate,0.6180791123196112,0.35756390887158507,0.014011250407943598,121.09221359491349,565037.0,16233.5458984375,2,-1.1913460780087755,-2.6761528634364735
Traffic,random_point,0.5,corr,0.649878048233546,0.3638117301516442,0.0087483964587724,61.17033729427739,442972.0,7648.15234375,2,-7.78612590249875,-9.204317732534369
Traffic,random_point,0.5,soft,0.5951028876213866,0.3359792109638845,0.008562442603607001,98.37906789183617,498396.0,14237.408203125,2,1.2986591185058132,0.0
Traffic,random_point,0.5,fuse,0.6029329311097174,0.3427764452742972,0.0006882881175721001,117.101814442873,581404.0,16227.91162109375,2,0.0,-1.3157461761994187
Traffic,random_point,0.5,sgate,0.6352715488757781,0.3582682723356725,0.011201992774952207,123.61047701239586,564957.0,16231.8095703125,2,-5.363551416330912,-6.749868315199195
Traffic,random_point,0.5,ggate,0.6322118131517491,0.3566418415979969,0.008937996337912923,113.66297480463982,564960.0,16231.8095703125,2,-4.856076112502771,-6.2357159244657785
Traffic,random_point,0.5,mgate,0.6101116297011144,0.3477668491324429,0.01601738818044368,106.98722339272499,565037.0,16233.5458984375,2,-1.1906297070528984,-2.52204154809556
Traffic,random_point,0.7,corr,0.5963365892016521,0.339110364606754,0.0011502026464370596,60.2639742910862,442972.0,7648.15234375,2,0.33014544775212507,-0.02090558622162711
Traffic,random_point,0.7,soft,0.5962119475988832,0.33522782221021974,0.011349505526429549,112.72545093643038,498396.0,14237.408203125,2,0.3509776600364146,0.0
Traffic,random_point,0.7,fuse,0.5983118886654408,0.338753616338593,0.0073035752616200655,114.91678143143653,581404.0,16227.91162109375,2,0.0,-0.3522138519723914
Traffic,random_point,0.7,sgate,0.604911772084271,0.3428186442457565,0.001970281084320402,107.7015209197998,564957.0,16231.8095703125,2,-1.103084117808779,-1.4591831848430004
Traffic,random_point,0.7,ggate,0.6110577488364448,0.3442961132194776,0.00026122061085737114,114.2994788467884,564960.0,16231.8095703125,2,-2.1303036781425404,-2.490020754758427
Traffic,random_point,0.7,mgate,0.5909155826792012,0.33762549572074746,0.001814029925389704,106.0727965593338,565037.0,16233.5458984375,2,1.2361957243967525,0.8883359250031768
Traffic,continuous_segment,0.7,corr,0.6097444171263218,0.3429084334506123,0.0064687192701839424,447.30957559347155,442972.0,7648.15234375,2,0.25582401334136834,-2.908535169568909
Traffic,continuous_segment,0.7,soft,0.5925110255642132,0.3341265292328238,0.002098279676535142,449.5358111679554,498396.0,14237.408203125,2,3.0749239387152505,0.0
Traffic,continuous_segment,0.7,fuse,0.6113082905290417,0.3417372128275792,0.006279647123412224,457.29417100548744,581404.0,16227.91162109375,2,0.0,-3.1724751361257715
Traffic,continuous_segment,0.7,sgate,0.6073528037064246,0.34043064976157417,0.003794922416765212,449.04742454886434,564957.0,16231.8095703125,2,0.6470527038319502,-2.5048948461471228
Traffic,continuous_segment,0.7,ggate,0.6052425001934716,0.3394667491382247,0.005365973510295385,447.0249914228916,564960.0,16231.8095703125,2,0.9922637120331868,-2.148732104543533
Traffic,continuous_segment,0.7,mgate,0.6083982843256626,0.340547686335283,0.010509521825072754,446.141865170002,565037.0,16233.5458984375,2,0.47602923900487576,-2.681343987872777
Electricity,random_point,0.5,corr,0.16159002456070723,0.26998526943429013,0.0013260385250477569,28.744860341151558,407266.0,1816.1513671875,2,-2.181485960233791,-1.8241414598941523
Electricity,random_point,0.5,soft,0.15869519962940545,0.2662942856636734,0.0005801818069508247,46.663914108276366,428066.0,4267.1005859375,2,-0.3509428070949042,0.0
Electricity,random_point,0.5,fuse,0.15814021790952776,0.26562960904134136,0.0007387718518513525,58.31546308994294,511074.0,5231.5078125,2,0.0,0.3497155056824162
Electricity,random_point,0.5,sgate,0.15742163153342542,0.26540063515100765,0.000483303806503535,69.89393878999878,494627.0,5226.29296875,2,0.4543982458108419,0.8025246503701088
Electricity,random_point,0.5,ggate,0.15724272178408483,0.26517905592803037,0.0007736459331169204,80.85676412827829,494630.0,5226.29296875,2,0.5675318633722828,0.9152626221287978
Electricity,random_point,0.5,mgate,0.15749297419806987,0.26602229436177083,0.00034348577555129434,81.02662301659583,494707.0,5226.298828125,2,0.40928469684300894,0.7575688704781799
Electricity,continuous_segment,0.5,corr,0.17360984951471115,0.28051317091119204,0.0008945760630952176,149.88800183534622,407266.0,1816.1513671875,2,-1.369347571289816,-1.379413781022283
Electricity,continuous_segment,0.5,soft,0.171247636023725,0.27875218060114915,0.00023640734050728307,143.96417538523673,428066.0,4267.1005859375,2,0.009929244367313256,0.0
Electricity,continuous_segment,0.5,fuse,0.17126464130847532,0.27848587180097584,0.001295248244425673,146.32286029458047,511074.0,5231.5078125,2,0.0,-0.009930230364152349
Electricity,continuous_segment,0.5,sgate,0.17026119068833093,0.27681149927910415,0.0010733587358407182,144.1149142086506,494627.0,5226.29296875,2,0.5859064734424779,0.5760344249408569
Electricity,continuous_segment,0.5,ggate,0.16983264662759412,0.27634638818984847,0.000630601707039144,143.87400656342507,494630.0,5226.548828125,2,0.8361297871765313,0.826282586426389
Electricity,continuous_segment,0.5,mgate,0.17008938682316949,0.2764753144553812,0.00043258783271424295,147.2155686080456,494707.0,5226.298828125,2,0.6862213217665952,0.6763592347605023
