dataset,method,predictor,impute,missing_type,missing_rate,seq_len,pred_len,seed,mse,mae,impute_mse,n_params,peak_mem_mb,train_time_sec,best_val_mse
ETTm1,misstsm,iTransformer,none,mixed,0.3,96,336,2025,0.8253000840897745,0.681291066060175,1.1103288961352116,350942,67.552734375,2.3732059001922607,0.8517701628168726
ETTm1,crib,iTransformer,none,variable_channel,0.1,96,96,2024,0.44989717129414136,0.4388380479108322,1.0997664503821658,310382,125.27197265625,1.9543304443359375,0.5579388495086319
Weather,saits,DLinear,none,continuous_segment,0.3,96,96,2026,0.18629630757839044,0.25260214145928833,0.34792435365809726,1370747,224.5615234375,4.390136957168579,0.443248799836078
ETTm1,simple,iTransformer,linear,variable_channel,0.1,96,192,2026,0.49253596056353666,0.4537462700743342,1.0912414609222503,314823,29.8544921875,8.78750729560852,0.6333384178621602
ExchangeRate,crib,iTransformer,none,mixed,0.1,336,192,2025,0.6728394843009581,0.5428564196609589,3.969395628894668,366160,812.02880859375,0.4305579662322998,0.9935174366784474
ExchangeRate,misstsm,iTransformer,none,variable_channel,0.1,336,336,2026,1.4826595138859104,0.9827418858940536,4.258361909840558,412448,199.158203125,0.4198005199432373,2.204313724598986
ETTh1,saits,iTransformer,none,random_point,0.3,96,96,2026,0.4430690221662367,0.46014159282191225,0.9141842040810165,1630853,223.61328125,0.8888742923736572,0.6930599306280352
Traffic,saits,PatchTST,none,continuous_segment,0.3,96,336,2024,0.5783219804538516,0.36045317049101583,0.6292459247619149,5001130,6794.31640625,34.528828382492065,0.47205082205838933
ExchangeRate,saits,iTransformer,none,variable_channel,0.1,336,96,2024,0.6405132024475698,0.5118005493383729,3.956092121895779,1695880,1043.71240234375,0.7426223754882812,1.147662052022206
ExchangeRate,simple,iTransformer,linear,variable_channel,0.1,336,720,2025,1.1075259113311768,0.784625174999237,4.81262321472168,444376,36.962890625,1.8312220573425293,1.9548976604755108
ETTm1,misstsm,iTransformer,none,mixed,0.1,336,192,2025,0.670611013659249,0.6045261353993523,1.1101997849778997,393806,176.439453125,2.3911349773406982,0.7666667123181389
ExchangeRate,simple,iTransformer,linear,variable_channel,0.3,96,192,2025,0.9421535981706826,0.61014656058277,3.616040478269738,314824,29.41796875,1.1515145301818848,1.627581231388045
Weather,simple,iTransformer,linear,continuous_segment,0.1,96,336,2025,0.28229734669825074,0.30015178771068046,0.11977345374344844,333413,45.0908203125,8.469334840774536,0.5829386861642266
ETTh1,saits,PatchTST,none,continuous_segment,0.3,96,96,2026,0.41206391426990446,0.4269556794496156,0.38991526970422463,1744915,267.75048828125,1.110647201538086,0.6983107524243463
ETTm1,saits,iTransformer,none,variable_channel,0.1,96,192,2025,7493758.264531211,416.55042920039796,54352090.31615054,1643237,213.15869140625,3.0109596252441406,7158929.986408927
ExchangeRate,coifnet,iTransformer,none,variable_channel,0.3,336,192,2025,0.9654439572828362,0.6316138742917992,3.995586604957121,615072,302.3076171875,0.3553166389465332,1.6785487287679468
ETTh1,saits,DLinear,none,random_point,0.1,96,96,2026,0.4307124865654341,0.441165339283284,1.0572213568850095,1347045,219.283203125,0.9452250003814697,0.6809252011604754
Electricity,simple,DLinear,linear,random_point,0.3,96,336,2026,0.21852460438856275,0.30974082906129563,0.12557277439367415,65505,153.7734375,3.914963960647583,0.19269829897579285
ETTm1,crib,iTransformer,none,variable_channel,0.1,336,96,2025,0.4669575054588151,0.44464833267408077,1.1136371783771974,333422,810.87353515625,3.1268234252929688,0.5732740516292189
Electricity,baseline,DLinear,none,none,0.0,96,96,2026,0.1953671414131857,0.27687830589992846,0.0,18945,82.96337890625,1.9654650688171387,0.1738775760699541
Electricity,simple,iTransformer,linear,random_point,0.3,96,336,2025,0.1901936427511839,0.28626956004798354,0.12556568680923513,333713,841.01904296875,4.1531219482421875,0.16763713271529587
ExchangeRate,misstsm,iTransformer,none,mixed,0.3,96,720,2026,1.6969821214675904,1.0331535625457764,4.661903657913208,400544,74.779296875,0.3087728023529053,4.145668665568034
ExchangeRate,simple,iTransformer,linear,mixed,0.3,96,720,2026,1.057891812324524,0.7589041376113892,1.8808437967300415,382936,33.828125,0.7134172916412354,1.9738516685290215
ExchangeRate,saits,iTransformer,none,variable_channel,0.3,96,720,2024,11280768.96,1453.0752294921874,73455455.2,1713016,216.79296875,0.36931943893432617,11787854.153846154
ETTm1,crib,iTransformer,none,mixed,0.3,96,192,2026,0.5088927837035927,0.4692193522400906,1.1064012872856033,319694,124.7724609375,2.548252820968628,0.6547217495191633
ETTm1,misstsm,iTransformer,none,mixed,0.3,96,720,2025,0.784192830387635,0.6602820649918291,1.116444738680936,400478,70.52734375,2.373164653778076,1.058570166714003
ETTh1,misstsm,iTransformer,none,continuous_segment,0.3,96,96,2026,0.5347853275775053,0.5281850596090621,1.1103514250561837,319982,66.13671875,0.844534158706665,0.8272715570468663
ETTh1,simple,DLinear,linear,continuous_segment,0.1,96,96,2025,0.41534288114662443,0.4203997988247144,1.0761264723122013,18631,18.833984375,2.1333329677581787,0.6790518579191964
Electricity,misstsm,iTransformer,none,random_point,0.1,96,96,2025,0.1789088458232315,0.29037036862529314,1.0036981825166869,340706,1800.50390625,3.998643636703491,0.14740579596167722
ExchangeRate,simple,iTransformer,linear,variable_channel,0.1,336,96,2025,0.4626653612999434,0.3732128350922231,3.65630951088466,363880,31.82421875,2.9884748458862305,0.8813625266649064
Electricity,simple,DLinear,linear,continuous_segment,0.3,96,336,2026,0.2935420240135495,0.376695022443644,1.2788233030198044,65505,153.7734375,21.247767686843872,0.2601185497375355
ETTm1,misstsm,iTransformer,none,mixed,0.3,96,336,2024,0.6914834077517049,0.5983504596756247,1.1089313207165066,350942,67.552734375,2.5197882652282715,0.8466708887140294
Traffic,misstsm,iTransformer,none,random_point,0.1,96,96,2026,1.2309445633895226,0.6350656104471812,1.4769796940453055,376412,7629.33935546875,4.455303907394409,0.8232152598532227
ETTh1,crib,iTransformer,none,random_point,0.1,96,96,2026,0.45567314153941785,0.443410238971402,1.1154913728926297,310382,125.24853515625,0.6257498264312744,0.7438568874364268
ETTm1,coifnet,iTransformer,none,variable_channel,0.1,336,720,2026,0.539331542022934,0.49664157157186645,1.0890160114409118,1519150,666.1865234375,1.8565881252288818,1.0764518390263842
ETTh1,misstsm,iTransformer,none,mixed,0.3,96,96,2024,0.7073436247168152,0.6301256575105006,1.1129264188198043,319982,66.13671875,0.7305269241333008,0.9033407090810299
ETTm1,crib,iTransformer,none,mixed,0.3,96,336,2025,0.5391179248484107,0.4868693958396724,1.1103288961352116,333662,130.658203125,2.419865846633911,0.766611703379004
Electricity,misstsm,iTransformer,none,continuous_segment,0.3,96,336,2026,0.24475198259502678,0.35024593083060535,0.9921076444866257,371666,1831.5,21.044314861297607,0.1888085743440782
ETTm1,saits,iTransformer,none,variable_channel,0.1,96,96,2024,28529987687476.824,799691.9878267959,204527836452438.28,1630853,212.66455078125,2.9845094680786133,28602019063651.387
ETTm1,simple,iTransformer,linear,variable_channel,0.1,96,336,2024,0.5233972606991464,0.4747040720032857,1.0960835029570504,333399,30.9287109375,8.11361289024353,0.769254106914672
Traffic,saits,PatchTST,none,continuous_segment,0.1,96,336,2026,0.5429557911429819,0.3445052926371417,0.5736240052425955,5001130,6794.31640625,12.475143432617188,0.4475120385823912
Electricity,simple,iTransformer,linear,continuous_segment,0.3,96,96,2024,0.18556054025594285,0.27542643752853896,1.281439593550267,302753,811.00146484375,21.761489391326904,0.16474895573696913
ETTh1,simple,PatchTST,linear,continuous_segment,0.3,96,336,2026,0.5227469011467895,0.47838815677845176,1.0256981817818813,785381,80.310546875,1.9667222499847412,1.3250953076630538
Weather,crib,iTransformer,none,random_point,0.1,96,336,2025,0.29661046879248315,0.31453169010130577,0.6284532724438433,339066,134.8759765625,1.959900140762329,0.5774495679451765
Electricity,misstsm,iTransformer,none,continuous_segment,0.3,96,96,2024,0.18930882698843135,0.30009619557975176,1.0025600864459496,340706,1800.50390625,21.77800178527832,0.15486687948482747
Weather,simple,iTransformer,linear,continuous_segment,0.3,96,336,2025,0.28895052738600885,0.30580306144277003,0.1338500402491797,333413,45.0908203125,10.639330387115479,0.5965216571761859
ETTm1,saits,iTransformer,none,variable_channel,0.3,336,336,2024,34625825496751.824,2041110.610639249,122762185148711.7,1724933,1044.29541015625,3.185476541519165,34530880325957.008
Traffic,simple,DLinear,linear,continuous_segment,0.3,96,96,2024,0.7692291455247915,0.4722369483065291,2.2118396388140464,19486,243.91943359375,36.92601990699768,0.6550111615420682
ETTm1,crib,iTransformer,none,variable_channel,0.3,336,192,2024,0.5711362656051014,0.5029719679224511,1.1079089111868896,365774,811.67236328125,3.0126638412475586,0.8010050617214314
ETTm1,crib,iTransformer,none,mixed,0.1,96,192,2024,0.5247755147203026,0.47652077316048813,1.1131952722386802,319694,124.7724609375,2.1004819869995117,0.6597254073849232
Traffic,coifnet,iTransformer,none,continuous_segment,0.1,96,96,2025,0.621990327150895,0.3540398823918221,3.019093464705466,659452,411.3447265625,12.18616771697998,0.4931755830466999
Weather,coifnet,iTransformer,none,random_point,0.1,96,336,2025,0.27582727609341895,0.3047223389236323,0.22517737498883814,515546,255.0625,1.7277884483337402,0.5693368144759197
ExchangeRate,crib,iTransformer,none,mixed,0.3,336,336,2026,0.9506070162798907,0.7087682743330259,4.169522391783224,414688,814.31005859375,0.550234317779541,1.4694529909895948
ETTh1,baseline,iTransformer,none,none,0.0,96,96,2025,0.3973162154749009,0.4141294264600778,0.0,302439,28.56005859375,0.5194430351257324,0.701066338448807
Weather,crib,iTransformer,none,random_point,0.3,96,336,2025,0.29497679339385047,0.31459737859012915,0.6291998855744081,339066,134.8759765625,2.2916548252105713,0.5738911057320693
ETTm1,coifnet,iTransformer,none,variable_channel,0.1,336,192,2025,0.44991592827173876,0.44048142027787573,1.1153436966529118,614686,301.8310546875,4.191381454467773,0.6588339652711247
Electricity,simple,PatchTST,linear,continuous_segment,0.1,96,96,2024,0.16631093254997442,0.25611597328414903,1.3185248794605497,417443,2367.2861328125,7.889603853225708,0.14464495351328652
ExchangeRate,coifnet,iTransformer,none,variable_channel,0.3,336,720,2024,1.913388638496399,1.044597327709198,4.906707410812378,1519536,668.29296875,0.2897319793701172,2.577546633206881
Weather,misstsm,iTransformer,none,continuous_segment,0.3,96,336,2024,0.30803335648667046,0.3523920503099545,0.6299046562677035,351866,156.64453125,5.033747673034668,0.569287701094252
Traffic,saits,PatchTST,none,continuous_segment,0.3,96,96,2024,0.5421529024272154,0.3516548870248641,0.6206890787247509,4632250,6641.22802734375,35.862695932388306,0.46324383228065164
Traffic,saits,DLinear,none,continuous_segment,0.3,96,336,2024,0.604419035573644,0.3663801694104052,0.8080805337710644,4279230,923.78271484375,34.05222415924072,0.4859709524621083
ETTh1,simple,iTransformer,linear,random_point,0.3,96,96,2025,0.40664972883366596,0.42133689968975485,0.1341949870117691,302439,28.560546875,2.2680978775024414,0.706038160929774
ExchangeRate,misstsm,iTransformer,none,variable_channel,0.3,336,336,2025,1.4125126326406323,0.955276379714141,4.296844128015879,412448,199.158203125,0.3888254165649414,2.840033610098187
Electricity,misstsm,iTransformer,none,continuous_segment,0.3,96,96,2025,0.19306622932098902,0.3028910266653998,1.003360929631255,340706,1800.50390625,22.665916919708252,0.16093623605235324
Weather,crib,iTransformer,none,random_point,0.3,96,96,2026,0.16555057624814157,0.21549023046854182,0.6337280466546278,315786,127.47314453125,2.146444797515869,0.40788310800780186
ETTm1,coifnet,iTransformer,none,variable_channel,0.3,336,720,2024,0.6428496458168196,0.5574026963366655,1.10506937675107,1519150,666.1865234375,1.9863009452819824,1.1312210948563717
Weather,saits,iTransformer,none,random_point,0.1,96,96,2026,0.16771771147126727,0.22046702956970712,1.4134911910833612,1654555,238.994140625,3.484682559967041,0.42448705363374994
ExchangeRate,saits,iTransformer,none,mixed,0.3,96,336,2026,0.8292782073085373,0.6727546171562092,4.360686057322734,1663480,214.13623046875,0.4919309616088867,1.1448694481635489
ExchangeRate,baseline,PatchTST,none,none,0.0,96,96,2025,0.08345992649706561,0.2030976883481058,0.0,416504,81.82470703125,0.35726284980773926,0.14471719347693443
ETTm1,coifnet,iTransformer,none,mixed,0.3,336,192,2024,0.467575604036044,0.4499204228915355,1.0209655301412424,614686,301.8310546875,2.9139842987060547,0.6650493496571712
Weather,simple,PatchTST,linear,continuous_segment,0.1,96,336,2026,0.265844370453221,0.2916811333282037,0.11535819491909043,785423,184.263671875,7.5334837436676025,0.5515546242645698
ExchangeRate,saits,iTransformer,none,variable_channel,0.1,336,336,2026,24316854.135135137,1286.1960795634502,203886518.9189189,1726840,1044.97607421875,0.4710853099822998,25156673.815602835
Traffic,simple,iTransformer,linear,continuous_segment,0.3,96,96,2024,0.48908324485991045,0.32936386342977186,2.2118396388140464,303294,4968.45263671875,36.69080114364624,0.4425316897410093
Traffic,crib,iTransformer,none,random_point,0.3,96,96,2024,0.6200405003560235,0.3532558541695859,1.4770360642785034,640412,304.03515625,2.811518430709839,0.48510776908373243
ExchangeRate,baseline,iTransformer,none,none,0.0,96,96,2026,0.10594711632708485,0.23071525086847583,0.0,302440,28.68896484375,0.37545251846313477,0.12413375032433557
Electricity,saits,PatchTST,none,random_point,0.3,96,336,2025,0.18952546531974557,0.29302011495287866,0.29392972554665975,2834425,2709.21240234375,4.5095055103302,0.16559572448398033
Traffic,crib,iTransformer,none,continuous_segment,0.3,96,336,2024,0.7068428739412563,0.3836676483454667,1.498931069937278,663692,487.10546875,34.08838152885437,0.511464711727602
ETTm1,crib,iTransformer,none,mixed,0.3,336,96,2026,0.48098147740771,0.4558105921301852,1.1075850767327606,333422,810.87353515625,3.218188524246216,0.5896764683410427
Weather,saits,PatchTST,none,random_point,0.1,96,336,2024,0.2694541750790616,0.31399260511122634,0.6932479559820345,2137525,379.7783203125,2.8127546310424805,0.5555092834319767
ETTh1,crib,iTransformer,none,random_point,0.3,96,96,2024,0.48025767854557005,0.4554996675606048,1.1180460183581928,310382,125.24853515625,0.6917405128479004,0.764713554718336
Traffic,saits,iTransformer,none,continuous_segment,0.1,96,336,2026,0.4641778786726824,0.3077659862247978,0.6162218232793132,4547438,5580.2529296875,12.73624300956726,0.40233129577959315
ExchangeRate,misstsm,iTransformer,none,variable_channel,0.3,96,336,2026,1.4179536539155084,0.9200545323861612,3.7424235762776554,351008,72.6171875,0.36509037017822266,3.0124088720226965
Electricity,simple,PatchTST,linear,continuous_segment,0.3,96,336,2026,0.2181270005907663,0.3023167256532781,1.2788233030198044,786323,2402.1484375,21.77253293991089,0.1927481248228119
ExchangeRate,simple,iTransformer,linear,mixed,0.3,96,192,2026,0.603506203157356,0.49144388825060376,1.3763183211705772,314824,29.41796875,1.1717426776885986,1.052759284905866
Weather,misstsm,iTransformer,none,random_point,0.1,96,96,2024,0.182295853102133,0.24769280126872048,0.6339903129122941,320906,153.482421875,2.146548271179199,0.4029147883939798
ExchangeRate,misstsm,iTransformer,none,mixed,0.3,336,720,2026,2.657195749282837,1.3090306043624877,4.908595142364502,461984,201.3203125,0.37100911140441895,5.359065520457732
ETTh1,saits,DLinear,none,random_point,0.1,96,96,2024,0.41764327228818376,0.431160094076684,0.8112623918420323,1347045,219.283203125,0.7511587142944336,0.6950864184587605
Electricity,simple,iTransformer,linear,random_point,0.1,96,96,2026,0.15967073758012532,0.25412708937325834,0.09656617375610183,302753,811.00146484375,4.158422470092773,0.13731895320749377
Traffic,misstsm,iTransformer,none,continuous_segment,0.3,96,96,2025,0.6116201286260066,0.34489006975210257,1.474414257388862,376412,7629.33935546875,36.64771771430969,0.49302649713554175
Traffic,saits,DLinear,none,random_point,0.1,96,336,2024,0.5964959656722902,0.3700304148516317,0.7732990897546603,4279230,923.78271484375,4.482269525527954,0.48709736246723284
ExchangeRate,saits,iTransformer,none,mixed,0.3,336,192,2024,18249416.795180723,2516.4088002400226,301030923.9518072,1708264,1044.21826171875,0.5734913349151611,16580372.486772487
Traffic,saits,iTransformer,none,continuous_segment,0.3,96,336,2026,0.5020763404726043,0.33158990386902815,0.6535789232929861,4547438,5580.9990234375,34.872116804122925,0.42462967515747846
ETTm1,saits,iTransformer,none,mixed,0.1,336,96,2026,0.41363017632090027,0.4336795710656523,0.6781534439520972,1693973,1043.06103515625,3.308317184448242,0.5421086189196459
ExchangeRate,saits,iTransformer,none,variable_channel,0.1,96,720,2024,1.1201729440689088,0.8102679061889648,3.267875142097473,1713016,216.79296875,0.4740779399871826,1.684166052402594
ETTm1,baseline,PatchTST,none,none,0.0,96,96,2025,0.3211953176378682,0.3615555139247907,0.0,416501,73.60107421875,1.7017109394073486,0.40918124604929457
Traffic,misstsm,iTransformer,none,continuous_segment,0.1,96,96,2026,0.7650095279185349,0.41503786726542485,1.4884494777305235,376412,7629.33935546875,11.971808671951294,0.6051714852892397
ExchangeRate,misstsm,iTransformer,none,mixed,0.3,336,192,2024,1.1862334214061139,0.8654777816979282,3.929048424743744,393872,198.34765625,0.504772424697876,1.8551097311460572
Weather,crib,iTransformer,none,random_point,0.1,96,336,2024,0.2876086115895504,0.31567933574603624,0.6295082180012914,339066,134.8759765625,1.8547272682189941,0.570125525907123
ExchangeRate,saits,iTransformer,none,variable_channel,0.1,336,336,2025,54.72399082699337,2.700972869589522,7530.458826013513,1726840,1044.97607421875,0.4763932228088379,32.36851389639203
ETTm1,misstsm,iTransformer,none,mixed,0.1,96,192,2026,0.6867200113166746,0.59380058256186,1.111491409159578,332366,66.724609375,2.3686342239379883,0.7210948835226115
ETTm1,simple,iTransformer,linear,variable_channel,0.1,336,96,2026,0.4303582174694512,0.4272653164618386,1.0912951339204149,363879,32.0673828125,22.479372024536133,0.5220948666868899
ExchangeRate,crib,iTransformer,none,mixed,0.1,336,96,2026,0.5366438737746035,0.4364912925141581,3.810519577412123,333808,811.21826171875,0.5571441650390625,0.9046975678088618
Traffic,simple,DLinear,linear,random_point,0.1,96,96,2024,0.6601512869839089,0.40400667246403843,0.2589003963665941,19486,243.91943359375,3.3605785369873047,0.5572144748073805
Traffic,saits,iTransformer,none,random_point,0.3,96,336,2025,0.46949416273222194,0.31058407445592207,0.6415199856870757,4547438,5580.2529296875,4.3659987449646,0.40533009879264803
ExchangeRate,misstsm,iTransformer,none,variable_channel,0.1,96,192,2026,0.9291062692561781,0.712676387953471,3.501071965838053,332432,71.806640625,0.46929216384887695,1.9759442162892176
ETTm1,crib,iTransformer,none,variable_channel,0.1,96,336,2026,0.5333007195190921,0.48450278997101526,1.0880142043518284,333662,130.658203125,2.425365686416626,0.7586988033009897
ExchangeRate,crib,iTransformer,none,mixed,0.1,96,336,2026,0.8084414399958946,0.6268643599909705,3.7622580592696733,334048,130.85400390625,0.3756096363067627,1.1897327657568821
ETTm1,crib,iTransformer,none,mixed,0.3,96,192,2024,0.5195940632268856,0.46996944134691426,1.1103253884531834,319694,124.7724609375,2.439513683319092,0.6661803904815262
ETTh1,crib,iTransformer,none,continuous_segment,0.3,96,96,2025,0.45114598837104264,0.4393487826926062,1.1242649406676233,310382,125.24853515625,0.796485185623169,0.747803099504279
ETTm1,coifnet,iTransformer,none,variable_channel,0.3,336,192,2025,0.557372699827495,0.4960265356245966,1.1180849275876044,614686,301.8310546875,1.8575396537780762,0.7918384067036172
ExchangeRate,misstsm,iTransformer,none,mixed,0.1,96,336,2026,1.403939347009401,0.8923078775405884,3.7622580592696733,351008,72.6171875,0.40613865852355957,3.187299732902653
Traffic,saits,PatchTST,none,random_point,0.1,96,336,2026,0.5438694141417977,0.30671928525909664,0.6095528584014712,5001130,6792.6484375,12.779075622558594,0.438079588004953
ExchangeRate,crib,iTransformer,none,mixed,0.3,336,192,2024,0.6624721303043595,0.5312520093228443,3.929048424743744,366160,812.02880859375,1.034487247467041,1.016790494296496
Electricity,simple,PatchTST,linear,continuous_segment,0.3,96,336,2025,0.2174079852242583,0.302285620134066,1.2771045897199098,786323,2402.1484375,21.074827909469604,0.19332728292427812
ETTh1,misstsm,iTransformer,none,continuous_segment,0.3,96,336,2024,0.758391862206,0.6615006553634913,1.0970851748771893,350942,67.458984375,0.8686063289642334,1.27513992669306
Weather,crib,iTransformer,none,continuous_segment,0.1,96,96,2024,0.1602569927890772,0.2094032626793452,0.6337055674804462,315786,127.47314453125,2.5231175422668457,0.40670881600374414
Traffic,simple,DLinear,linear,random_point,0.1,96,96,2026,0.6602659420946158,0.4041785931342866,0.2580814475021809,19486,243.91943359375,3.524369955062866,0.5567390172865249
ETTm1,coifnet,iTransformer,none,mixed,0.1,336,96,2026,0.4232272102952786,0.4275351096216907,1.0826244498655624,510142,249.88671875,2.471085786819458,0.5573725980142014
ETTm1,saits,iTransformer,none,variable_channel,0.1,336,720,2024,1491442491244.1025,301821.54036663275,10463557306736.416,1774469,1046.27001953125,6.514138698577881,1484610525236.5225
ETTh1,simple,DLinear,linear,random_point,0.1,96,96,2024,0.3923810079024981,0.40727008647507784,0.10584055702243823,18631,18.833984375,2.512969970703125,0.6566583978530535
ETTh1,saits,PatchTST,none,random_point,0.3,96,96,2025,0.4051220675345169,0.4207016971423767,0.4087915907000297,1744915,267.75048828125,0.835491418838501,0.6913170845547099
ETTh1,simple,PatchTST,linear,random_point,0.1,96,336,2026,0.5157414520653385,0.47490565107004584,0.10614107474245585,785381,80.310546875,1.9016318321228027,1.308604270395455
ExchangeRate,simple,iTransformer,linear,mixed,0.3,96,96,2024,0.5120418989256527,0.4042886763476254,1.3152527963177543,302440,28.689453125,1.1801624298095703,0.8552638696869035
