dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
ETTh1,continuous_segment,0.3,96,misstsm,iTransformer,none,0.43846664736900126,0.0,0.4554060608951151,0.0,1.1249111185382041,1
Weather,continuous_segment,0.3,96,simple,iTransformer,linear,0.19364609817045622,0.0,0.2351398504082811,0.0,0.1280719770911266,1
